history_id,user_id,"title","took_date","due_date","return_date"
14,101,"Alchemist","2017-10-22","2017-10-29","2017-10-22"
15,101,"Davinci Code","2017-10-22","2017-10-29","2017-10-22"
16,101,"percy","2017-10-24","2017-10-31","2017-10-24"
17,101,"Nalukettu","2017-10-28","2017-11-04","2017-10-28"
18,101,"Alchemist","2017-10-28","2017-11-04","2017-10-28"
19,101,"Alchemist","2017-10-28","2017-11-04","2017-10-28"
20,101,"Davinci Code","2017-10-28","2017-11-04","2017-10-28"
21,101,"Alchemist","2017-10-28","2017-11-04","2017-10-28"
22,101,"Davinci Code","2017-10-28","2017-11-04","2017-10-28"
23,101,"Alchemist","2017-10-28","2017-11-04","2017-10-28"
24,101,"Davinci Code","2017-10-28","2017-11-04","2017-10-28"
25,101,"Alchemist","2017-10-28","2017-11-04","2017-10-28"
26,101,"Davinci Code","2017-10-28","2017-11-04","2017-10-28"
27,101,"Alchemist","2017-10-29","2017-11-05","2017-10-29"
28,101,"Davinci Code","2017-10-29","2017-11-05","2017-10-29"
29,101,"Alchemist","2017-10-29","2017-11-05","2017-10-29"
30,101,"Alchemist","2017-10-29","2017-11-05","2017-10-29"
